CharName,PlainText
Romeo,"Your plaintain-leaf is excellent for that."
Benvolio,"For what, I pray thee?"
Romeo,"For your broken shin."
Benvolio,"Why, Romeo, art thou mad?"
Romeo,"Not mad, but bound more than a mad-man is;
Shut up in prison, kept without my food,
Whipp'd and tormented and--God-den, good fellow."
Romeo,"Ay, mine own fortune in my misery."
Romeo,"Ay, if I know the letters and the language."
Romeo,"Stay, fellow; I can read.
[Reads]
'Signior Martino and his wife and daughters;
County Anselme and his beauteous sisters; the lady
widow of Vitravio; Signior Placentio and his lovely
nieces; Mercutio and his brother Valentine; mine
uncle Capulet, his wife and daughters; my fair niece
Rosaline; Livia; Signior Valentio and his cousin
Tybalt, Lucio and the lively Helena.' A fair
assembly: whither should they come?"
Romeo,Whither?
Romeo,"Whose house?"
Romeo,"Indeed, I should have ask'd you that before."
Benvolio,"At this same ancient feast of Capulet's
Sups the fair Rosaline whom thou so lovest,
With all the admired beauties of Verona:
Go thither; and, with unattainted eye,
Compare her face with some that I shall show,
And I will make thee think thy swan a crow."
Romeo,"When the devout religion of mine eye
Maintains such falsehood, then turn tears to fires;
And these, who often drown'd could never die,
Transparent heretics, be burnt for liars!
One fairer than my love! the all-seeing sun
Ne'er saw her match since first the world begun."
Benvolio,"Tut, you saw her fair, none else being by,
Herself poised with herself in either eye:
But in that crystal scales let there be weigh'd
Your lady's love against some other maid
That I will show you shining at this feast,
And she shall scant show well that now shows best."
Romeo,"I'll go along, no such sight to be shown,
But to rejoice in splendor of mine own."
Juliet,"How now! who calls?"
Juliet,"Madam, I am here.
What is your will?"
Juliet,"And stint thou too, I pray thee, nurse, say I."
Juliet,"It is an honour that I dream not of."
Juliet,"I'll look to like, if looking liking move:
But no more deep will I endart mine eye
Than your consent gives strength to make it fly."
Romeo,"What, shall this speech be spoke for our excuse?
Or shall we on without a apology?"
Benvolio,"The date is out of such prolixity:
We'll have no Cupid hoodwink'd with a scarf,
Bearing a Tartar's painted bow of lath,
Scaring the ladies like a crow-keeper;
Nor no without-book prologue, faintly spoke
After the prompter, for our entrance:
But let them measure us by what they will;
We'll measure them a measure, and be gone."
Romeo,"Give me a torch: I am not for this ambling;
Being but heavy, I will bear the light."
Romeo,"Not I, believe me: you have dancing shoes
With nimble soles: I have a soul of lead
So stakes me to the ground I cannot move."
Romeo,"I am too sore enpierced with his shaft
To soar with his light feathers, and so bound,
I cannot bound a pitch above dull woe:
Under love's heavy burden do I sink."
Romeo,"Is love a tender thing? it is too rough,
Too rude, too boisterous, and it pricks like thorn."
Benvolio,"Come, knock and enter; and no sooner in,
But every man betake him to his legs."
Romeo,"A torch for me: let wantons light of heart
Tickle the senseless rushes with their heels,
For I am proverb'd with a grandsire phrase;
I'll be a candle-holder, and look on.
The game was ne'er so fair, and I am done."
Romeo,"Nay, that's not so."
Romeo,"And we mean well in going to this mask;
But 'tis no wit to go."
Romeo,"I dream'd a dream to-night."
Romeo,"Well, what was yours?"
Romeo,"In bed asleep, while they do dream things true."
Romeo,"Peace, peace, Mercutio, peace!
Thou talk'st of nothing."
Benvolio,"This wind, you talk of, blows us from ourselves;
Supper is done, and we shall come too late."
Romeo,"I fear, too early: for my mind misgives
Some consequence yet hanging in the stars
Shall bitterly begin his fearful date
With this night's revels and expire the term
Of a despised life closed in my breast
By some vile forfeit of untimely death.
But He, that hath the steerage of my course,
Direct my sail! On, lusty gentlemen."
Benvolio,"Strike, drum."
Romeo,"[To a Servingman] What lady is that, which doth
enrich the hand
Of yonder knight?"
Romeo,"O, she doth teach the torches to burn bright!
It seems she hangs upon the cheek of night
Like a rich jewel in an Ethiope's ear;
Beauty too rich for use, for earth too dear!
So shows a snowy dove trooping with crows,
As yonder lady o'er her fellows shows.
The measure done, I'll watch her place of stand,
And, touching hers, make blessed my rude hand.
Did my heart love till now? forswear it, sight!
For I ne'er saw true beauty till this night."
Tybalt,"This, by his voice, should be a Montague.
Fetch me my rapier, boy. What dares the slave
Come hither, cover'd with an antic face,
To fleer and scorn at our solemnity?
Now, by the stock and honour of my kin,
To strike him dead, I hold it not a sin."
Tybalt,"Uncle, this is a Montague, our foe,
A villain that is hither come in spite,
To scorn at our solemnity this night."
Tybalt,"'Tis he, that villain Romeo."
Tybalt,"It fits, when such a villain is a guest:
I'll not endure him."
Tybalt,"Why, uncle, 'tis a shame."
Tybalt,"Patience perforce with wilful choler meeting
Makes my flesh tremble in their different greeting.
I will withdraw: but this intrusion shall
Now seeming sweet convert to bitter gall."
Romeo,"[To JULIET] If I profane with my unworthiest hand
This holy shrine, the gentle fine is this:
My lips, two blushing pilgrims, ready stand
To smooth that rough touch with a tender kiss."
Juliet,"Good pilgrim, you do wrong your hand too much,
Which mannerly devotion shows in this;
For saints have hands that pilgrims' hands do touch,
And palm to palm is holy palmers' kiss."
Romeo,"Have not saints lips, and holy palmers too?"
Juliet,"Ay, pilgrim, lips that they must use in prayer."
Romeo,"O, then, dear saint, let lips do what hands do;
They pray, grant thou, lest faith turn to despair."
Juliet,"Saints do not move, though grant for prayers' sake."
Romeo,"Then move not, while my prayer's effect I take.
Thus from my lips, by yours, my sin is purged."
Juliet,"Then have my lips the sin that they have took."
Romeo,"Sin from thy lips? O trespass sweetly urged!
Give me my sin again."
Juliet,"You kiss by the book."
Romeo,"What is her mother?"
Romeo,"Is she a Capulet?
O dear account! my life is my foe's debt."
Benvolio,"Away, begone; the sport is at the best."
Romeo,"Ay, so I fear; the more is my unrest."
Juliet,"Come hither, nurse. What is yond gentleman?"
Juliet,"What's he that now is going out of door?"
Juliet,"What's he that follows there, that would not dance?"
Juliet,"Go ask his name: if he be married.
My grave is like to be my wedding bed."
Juliet,"My only love sprung from my only hate!
Too early seen unknown, and known too late!
Prodigious birth of love it is to me,
That I must love a loathed enemy."
Juliet,"A rhyme I learn'd even now
Of one I danced withal."
Romeo,"Can I go forward when my heart is here?
Turn back, dull earth, and find thy centre out."
Benvolio,"Romeo! my cousin Romeo!"
Benvolio,"He ran this way, and leap'd this orchard wall:
Call, good Mercutio."
Benvolio,"And if he hear thee, thou wilt anger him."
Benvolio,"Come, he hath hid himself among these trees,
To be consorted with the humorous night:
Blind is his love and best befits the dark."
Benvolio,"Go, then; for 'tis in vain
To seek him here that means not to be found."
Romeo,"He jests at scars that never felt a wound.
[JULIET appears above at a window]
But, soft! what light through yonder window breaks?
It is the east, and Juliet is the sun.
Arise, fair sun, and kill the envious moon,
Who is already sick and pale with grief,
That thou her maid art far more fair than she:
Be not her maid, since she is envious;
Her vestal livery is but sick and green
And none but fools do wear it; cast it off.
It is my lady, O, it is my love!
O, that she knew she were!
She speaks yet she says nothing: what of that?
Her eye discourses; I will answer it.
I am too bold, 'tis not to me she speaks:
Two of the fairest stars in all the heaven,
Having some business, do entreat her eyes
To twinkle in their spheres till they return.
What if her eyes were there, they in her head?
The brightness of her cheek would shame those stars,
As daylight doth a lamp; her eyes in heaven
Would through the airy region stream so bright
That birds would sing and think it were not night.
See, how she leans her cheek upon her hand!
O, that I were a glove upon that hand,
That I might touch that cheek!"
Juliet,"Ay me!"
Romeo,"She speaks:
O, speak again, bright angel! for thou art
As glorious to this night, being o'er my head
As is a winged messenger of heaven
Unto the white-upturned wondering eyes
Of mortals that fall back to gaze on him
When he bestrides the lazy-pacing clouds
And sails upon the bosom of the air."
Juliet,"O Romeo, Romeo! wherefore art thou Romeo?
Deny thy father and refuse thy name;
Or, if thou wilt not, be but sworn my love,
And I'll no longer be a Capulet."
Romeo,"[Aside] Shall I hear more, or shall I speak at this?"
Juliet,"'Tis but thy name that is my enemy;
Thou art thyself, though not a Montague.
What's Montague? it is nor hand, nor foot,
Nor arm, nor face, nor any other part
Belonging to a man. O, be some other name!
What's in a name? that which we call a rose
By any other name would smell as sweet;
So Romeo would, were he not Romeo call'd,
Retain that dear perfection which he owes
Without that title. Romeo, doff thy name,
And for that name which is no part of thee
Take all myself."
Romeo,"I take thee at thy word:
Call me but love, and I'll be new baptized;
Henceforth I never will be Romeo."
Juliet,"What man art thou that thus bescreen'd in night
So stumblest on my counsel?"
Romeo,"By a name
I know not how to tell thee who I am:
My name, dear saint, is hateful to myself,
Because it is an enemy to thee;
Had I it written, I would tear the word."
Juliet,"My ears have not yet drunk a hundred words
Of that tongue's utterance, yet I know the sound:
Art thou not Romeo and a Montague?"
Romeo,"Neither, fair saint, if either thee dislike."
Juliet,"How camest thou hither, tell me, and wherefore?
The orchard walls are high and hard to climb,
And the place death, considering who thou art,
If any of my kinsmen find thee here."
Romeo,"With love's light wings did I o'er-perch these walls;
For stony limits cannot hold love out,
And what love can do that dares love attempt;
Therefore thy kinsmen are no let to me."
Juliet,"If they do see thee, they will murder thee."
Romeo,"Alack, there lies more peril in thine eye
Than twenty of their swords: look thou but sweet,
And I am proof against their enmity."
Juliet,"I would not for the world they saw thee here."
Romeo,"I have night's cloak to hide me from their sight;
And but thou love me, let them find me here:
My life were better ended by their hate,
Than death prorogued, wanting of thy love."
Juliet,"By whose direction found'st thou out this place?"
Romeo,"By love, who first did prompt me to inquire;
He lent me counsel and I lent him eyes.
I am no pilot; yet, wert thou as far
As that vast shore wash'd with the farthest sea,
I would adventure for such merchandise."
Juliet,"Thou know'st the mask of night is on my face,
Else would a maiden blush bepaint my cheek
For that which thou hast heard me speak to-night
Fain would I dwell on form, fain, fain deny
What I have spoke: but farewell compliment!
Dost thou love me? I know thou wilt say 'Ay,'
And I will take thy word: yet if thou swear'st,
Thou mayst prove false; at lovers' perjuries
Then say, Jove laughs. O gentle Romeo,
If thou dost love, pronounce it faithfully:
Or if thou think'st I am too quickly won,
I'll frown and be perverse an say thee nay,
So thou wilt woo; but else, not for the world.
In truth, fair Montague, I am too fond,
And therefore thou mayst think my 'havior light:
But trust me, gentleman, I'll prove more true
Than those that have more cunning to be strange.
I should have been more strange, I must confess,
But that thou overheard'st, ere I was ware,
My true love's passion: therefore pardon me,
And not impute this yielding to light love,
Which the dark night hath so discovered."
Romeo,"Lady, by yonder blessed moon I swear
That tips with silver all these fruit-tree tops--"
Juliet,"O, swear not by the moon, the inconstant moon,
That monthly changes in her circled orb,
Lest that thy love prove likewise variable."
Romeo,"What shall I swear by?"
Juliet,"Do not swear at all;
Or, if thou wilt, swear by thy gracious self,
Which is the god of my idolatry,
And I'll believe thee."
Romeo,"If my heart's dear love--"
Juliet,"Well, do not swear: although I joy in thee,
I have no joy of this contract to-night:
It is too rash, too unadvised, too sudden;
Too like the lightning, which doth cease to be
Ere one can say 'It lightens.' Sweet, good night!
This bud of love, by summer's ripening breath,
May prove a beauteous flower when next we meet.
Good night, good night! as sweet repose and rest
Come to thy heart as that within my breast!"
Romeo,"O, wilt thou leave me so unsatisfied?"
Juliet,"What satisfaction canst thou have to-night?"
Romeo,"The exchange of thy love's faithful vow for mine."
Juliet,"I gave thee mine before thou didst request it:
And yet I would it were to give again."
Romeo,"Wouldst thou withdraw it? for what purpose, love?"
Juliet,"But to be frank, and give it thee again.
And yet I wish but for the thing I have:
My bounty is as boundless as the sea,
My love as deep; the more I give to thee,
The more I have, for both are infinite.
[Nurse calls within]
I hear some noise within; dear love, adieu!
Anon, good nurse! Sweet Montague, be true.
Stay but a little, I will come again."
Romeo,"O blessed, blessed night! I am afeard.
Being in night, all this is but a dream,
Too flattering-sweet to be substantial."
Juliet,"Three words, dear Romeo, and good night indeed.
If that thy bent of love be honourable,
Thy purpose marriage, send me word to-morrow,
By one that I'll procure to come to thee,
Where and what time thou wilt perform the rite;
And all my fortunes at thy foot I'll lay
And follow thee my lord throughout the world."
Juliet,"I come, anon.--But if thou mean'st not well,
I do beseech thee--"
Juliet,"By and by, I come:--
To cease thy suit, and leave me to my grief:
To-morrow will I send."
Romeo,"So thrive my soul--"
Juliet,"A thousand times good night!"
Romeo,"A thousand times the worse, to want thy light.
Love goes toward love, as schoolboys from
their books,
But love from love, toward school with heavy looks."
Juliet,"Hist! Romeo, hist! O, for a falconer's voice,
To lure this tassel-gentle back again!
Bondage is hoarse, and may not speak aloud;
Else would I tear the cave where Echo lies,
And make her airy tongue more hoarse than mine,
With repetition of my Romeo's name."
Romeo,"It is my soul that calls upon my name:
How silver-sweet sound lovers' tongues by night,
Like softest music to attending ears!"
Juliet,Romeo!
Romeo,"My dear?"
Juliet,"At what o'clock to-morrow
Shall I send to thee?"
Romeo,"At the hour of nine."
Juliet,"I will not fail: 'tis twenty years till then.
I have forgot why I did call thee back."
Romeo,"Let me stand here till thou remember it."
Juliet,"I shall forget, to have thee still stand there,
Remembering how I love thy company."
Romeo,"And I'll still stay, to have thee still forget,
Forgetting any other home but this."
Juliet,"'Tis almost morning; I would have thee gone:
And yet no further than a wanton's bird;
Who lets it hop a little from her hand,
Like a poor prisoner in his twisted gyves,
And with a silk thread plucks it back again,
So loving-jealous of his liberty."
Romeo,"I would I were thy bird."
Juliet,"Sweet, so would I:
Yet I should kill thee with much cherishing.
Good night, good night! parting is such
sweet sorrow,
That I shall say good night till it be morrow."
Romeo,"Sleep dwell upon thine eyes, peace in thy breast!
Would I were sleep and peace, so sweet to rest!
Hence will I to my ghostly father's cell,
His help to crave, and my dear hap to tell."
Romeo,"Good morrow, father."
Romeo,"That last is true; the sweeter rest was mine."
Romeo,"With Rosaline, my ghostly father? no;
I have forgot that name, and that name's woe."
Romeo,"I'll tell thee, ere thou ask it me again.
I have been feasting with mine enemy,
Where on a sudden one hath wounded me,
That's by me wounded: both our remedies
Within thy help and holy physic lies:
I bear no hatred, blessed man, for, lo,
My intercession likewise steads my foe."
Romeo,"Then plainly know my heart's dear love is set
On the fair daughter of rich Capulet:
As mine on hers, so hers is set on mine;
And all combined, save what thou must combine
By holy marriage: when and where and how
We met, we woo'd and made exchange of vow,
I'll tell thee as we pass; but this I pray,
That thou consent to marry us to-day."
Romeo,"Thou chid'st me oft for loving Rosaline."
Romeo,"And bad'st me bury love."
Romeo,"I pray thee, chide not; she whom I love now
Doth grace for grace and love for love allow;
The other did not so."
Romeo,"O, let us hence; I stand on sudden haste."
Benvolio,"Not to his father's; I spoke with his man."
Benvolio,"Tybalt, the kinsman of old Capulet,
Hath sent a letter to his father's house."
Benvolio,"Romeo will answer it."
Benvolio,"Nay, he will answer the letter's master, how he
dares, being dared."
Benvolio,"Why, what is Tybalt?"
Benvolio,"The what?"
Benvolio,"Here comes Romeo, here comes Romeo."
Romeo,"Good morrow to you both. What counterfeit did I give you?"
Romeo,"Pardon, good Mercutio, my business was great; and in
such a case as mine a man may strain courtesy."
Romeo,"Meaning, to court'sy."
Romeo,"A most courteous exposition."
Romeo,"Pink for flower."
Romeo,"Why, then is my pump well flowered."
Romeo,"O single-soled jest, solely singular for the
singleness."
Romeo,"Switch and spurs, switch and spurs; or I'll cry a match."
Romeo,"Thou wast never with me for any thing when thou wast
not there for the goose."
Romeo,"Nay, good goose, bite not."
Romeo,"And is it not well served in to a sweet goose?"
Romeo,"I stretch it out for that word 'broad;' which added
to the goose, proves thee far and wide a broad goose."
Benvolio,"Stop there, stop there."
Benvolio,"Thou wouldst else have made thy tale large."
Romeo,"Here's goodly gear!"
Benvolio,"Two, two; a shirt and a smock."
Romeo,"One, gentlewoman, that God hath made for himself to
mar."
Romeo,"I can tell you; but young Romeo will be older when
you have found him than he was when you sought him:
I am the youngest of that name, for fault of a worse."
Benvolio,"She will indite him to some supper."
Romeo,"What hast thou found?"
Romeo,"I will follow you."
Romeo,"A gentleman, nurse, that loves to hear himself talk,
and will speak more in a minute than he will stand
to in a month."
Romeo,"Nurse, commend me to thy lady and mistress. I
protest unto thee--"
Romeo,"What wilt thou tell her, nurse? thou dost not mark me."
Romeo,"Bid her devise
Some means to come to shrift this afternoon;
And there she shall at Friar Laurence' cell
Be shrived and married. Here is for thy pains."
Romeo,"Go to; I say you shall."
Romeo,"And stay, good nurse, behind the abbey wall:
Within this hour my man shall be with thee
And bring thee cords made like a tackled stair;
Which to the high top-gallant of my joy
Must be my convoy in the secret night.
Farewell; be trusty, and I'll quit thy pains:
Farewell; commend me to thy mistress."
Romeo,"What say'st thou, my dear nurse?"
Romeo,"I warrant thee, my man's as true as steel."
Romeo,"Ay, nurse; what of that? both with an R."
Romeo,"Commend me to thy lady."
Juliet,"The clock struck nine when I did send the nurse;
In half an hour she promised to return.
Perchance she cannot meet him: that's not so.
O, she is lame! love's heralds should be thoughts,
Which ten times faster glide than the sun's beams,
Driving back shadows over louring hills:
Therefore do nimble-pinion'd doves draw love,
And therefore hath the wind-swift Cupid wings.
Now is the sun upon the highmost hill
Of this day's journey, and from nine till twelve
Is three long hours, yet she is not come.
Had she affections and warm youthful blood,
She would be as swift in motion as a ball;
My words would bandy her to my sweet love,
And his to me:
But old folks, many feign as they were dead;
Unwieldy, slow, heavy and pale as lead.
O God, she comes!
[Enter Nurse and PETER]
O honey nurse, what news?
Hast thou met with him? Send thy man away."
Juliet,"Now, good sweet nurse,--O Lord, why look'st thou sad?
Though news be sad, yet tell them merrily;
If good, thou shamest the music of sweet news
By playing it to me with so sour a face."
Juliet,"I would thou hadst my bones, and I thy news:
Nay, come, I pray thee, speak; good, good nurse, speak."
Juliet,"How art thou out of breath, when thou hast breath
To say to me that thou art out of breath?
The excuse that thou dost make in this delay
Is longer than the tale thou dost excuse.
Is thy news good, or bad? answer to that;
Say either, and I'll stay the circumstance:
Let me be satisfied, is't good or bad?"
Juliet,"No, no: but all this did I know before.
What says he of our marriage? what of that?"
Juliet,"I' faith, I am sorry that thou art not well.
Sweet, sweet, sweet nurse, tell me, what says my love?"
Juliet,"Where is my mother! why, she is within;
Where should she be? How oddly thou repliest!
'Your love says, like an honest gentleman,
Where is your mother?'"
Juliet,"Here's such a coil! come, what says Romeo?"
Juliet,"I have."
Juliet,"Hie to high fortune! Honest nurse, farewell."
Romeo,"Amen, amen! but come what sorrow can,
It cannot countervail the exchange of joy
That one short minute gives me in her sight:
Do thou but close our hands with holy words,
Then love-devouring death do what he dare;
It is enough I may but call her mine."
Juliet,"Good even to my ghostly confessor."
Juliet,"As much to him, else is his thanks too much."
Romeo,"Ah, Juliet, if the measure of thy joy
Be heap'd like mine and that thy skill be more
To blazon it, then sweeten with thy breath
This neighbour air, and let rich music's tongue
Unfold the imagined happiness that both
Receive in either by this dear encounter."
Juliet,"Conceit, more rich in matter than in words,
Brags of his substance, not of ornament:
They are but beggars that can count their worth;
But my true love is grown to such excess
I cannot sum up sum of half my wealth."
Benvolio,"I pray thee, good Mercutio, let's retire:
The day is hot, the Capulets abroad,
And, if we meet, we shall not scape a brawl;
For now, these hot days, is the mad blood stirring."
Benvolio,"Am I like such a fellow?"
Benvolio,"And what to?"
Benvolio,"An I were so apt to quarrel as thou art, any man
should buy the fee-simple of my life for an hour and a quarter."
Benvolio,"By my head, here come the Capulets."
Tybalt,"Follow me close, for I will speak to them.
Gentlemen, good den: a word with one of you."
Tybalt,"You shall find me apt enough to that, sir, an you
will give me occasion."
Tybalt,"Mercutio, thou consort'st with Romeo,--"
Benvolio,"We talk here in the public haunt of men:
Either withdraw unto some private place,
And reason coldly of your grievances,
Or else depart; here all eyes gaze on us."
Tybalt,"Well, peace be with you, sir: here comes my man."
Tybalt,"Romeo, the hate I bear thee can afford
No better term than this,--thou art a villain."
Romeo,"Tybalt, the reason that I have to love thee
Doth much excuse the appertaining rage
To such a greeting: villain am I none;
Therefore farewell; I see thou know'st me not."
Tybalt,"Boy, this shall not excuse the injuries
That thou hast done me; therefore turn and draw."
Romeo,"I do protest, I never injured thee,
But love thee better than thou canst devise,
Till thou shalt know the reason of my love:
And so, good Capulet,--which name I tender
As dearly as my own,--be satisfied."
Tybalt,"What wouldst thou have with me?"
Tybalt,"I am for you."
Romeo,"Gentle Mercutio, put thy rapier up."
Romeo,"Draw, Benvolio; beat down their weapons.
Gentlemen, for shame, forbear this outrage!
Tybalt, Mercutio, the prince expressly hath
Forbidden bandying in Verona streets:
Hold, Tybalt! good Mercutio!"
Benvolio,"What, art thou hurt?"
Romeo,"Courage, man; the hurt cannot be much."
Romeo,"I thought all for the best."
Romeo,"This gentleman, the prince's near ally,
My very friend, hath got his mortal hurt
In my behalf; my reputation stain'd
With Tybalt's slander,--Tybalt, that an hour
Hath been my kinsman! O sweet Juliet,
Thy beauty hath made me effeminate
And in my temper soften'd valour's steel!"
Benvolio,"O Romeo, Romeo, brave Mercutio's dead!
That gallant spirit hath aspired the clouds,
Which too untimely here did scorn the earth."
Romeo,"This day's black fate on more days doth depend;
This but begins the woe, others must end."
Benvolio,"Here comes the furious Tybalt back again."
Romeo,"Alive, in triumph! and Mercutio slain!
Away to heaven, respective lenity,
And fire-eyed fury be my conduct now!
[Re-enter TYBALT]
Now, Tybalt, take the villain back again,
That late thou gavest me; for Mercutio's soul
Is but a little way above our heads,
Staying for thine to keep him company:
Either thou, or I, or both, must go with him."
Tybalt,"Thou, wretched boy, that didst consort him here,
Shalt with him hence."
Romeo,"This shall determine that."
Benvolio,"Romeo, away, be gone!
The citizens are up, and Tybalt slain.
Stand not amazed: the prince will doom thee death,
If thou art taken: hence, be gone, away!"
Romeo,"O, I am fortune's fool!"
Benvolio,"Why dost thou stay?"
Benvolio,"There lies that Tybalt."
Benvolio,"O noble prince, I can discover all
The unlucky manage of this fatal brawl:
There lies the man, slain by young Romeo,
That slew thy kinsman, brave Mercutio."
Benvolio,"Tybalt, here slain, whom Romeo's hand did slay;
Romeo that spoke him fair, bade him bethink
How nice the quarrel was, and urged withal
Your high displeasure: all this uttered
With gentle breath, calm look, knees humbly bow'd,
Could not take truce with the unruly spleen
Of Tybalt deaf to peace, but that he tilts
With piercing steel at bold Mercutio's breast,
Who all as hot, turns deadly point to point,
And, with a martial scorn, with one hand beats
Cold death aside, and with the other sends
It back to Tybalt, whose dexterity,
Retorts it: Romeo he cries aloud,
'Hold, friends! friends, part!' and, swifter than
his tongue,
His agile arm beats down their fatal points,
And 'twixt them rushes; underneath whose arm
An envious thrust from Tybalt hit the life
Of stout Mercutio, and then Tybalt fled;
But by and by comes back to Romeo,
Who had but newly entertain'd revenge,
And to 't they go like lightning, for, ere I
Could draw to part them, was stout Tybalt slain.
And, as he fell, did Romeo turn and fly.
This is the truth, or let Benvolio die."
